VIN (1-10);County;City;State;Postal Code;Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract;Descuentos;Precio Final
5YJ3E1EB2J;King;Bellevue;WA;98006;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;41;442612824;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025006;15641;54259
WMEFJ9BA1J;King;Renton;WA;98058;2018;SMART;EQ FORTWO;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;58;69900;11;205863458;POINT (-122.1298876 47.4451257);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025803;27587;42313
5YJ3E1EB2J;King;Newcastle;WA;98059;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;41;275730297;POINT (-122.15734 47.487175);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025005;23814;46086
7SAYGAEE7N;King;Bellevue;WA;98005;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;41;192945161;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023604;19650;33250
5YJ3E1EAXP;King;Sammamish;WA;98074;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;45;238394173;POINT (-122.0313266 47.6285782);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032318;11685;32415
7SAYGDEEXP;King;Woodinville;WA;98072;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;45;228218784;POINT (-122.151665 47.75855);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032319;11595;20355
1C4JJXP69N;Snohomish;Snohomish;WA;98290;2022;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;52900;39;209338636;POINT (-122.091505 47.915555);PUGET SOUND ENERGY INC;53061052206;14370;38530
5YJYGDEE8L;King;Kent;WA;98031;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;31950;47;110176853;POINT (-122.2012521 47.3931814);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029403;10028;21922
5YJ3E1EB0N;King;Bellevue;WA;98006;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;41;185648004;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024902;16722;27378
5YJ3E1EB2N;King;Seatac;WA;98148;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;33;209791151;POINT (-122.32863 47.46233);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028500;14869;55031
5YJ3E1EA3M;King;Sammamish;WA;98074;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;138852724;POINT (-122.0313266 47.6285782);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032317;20444;49456
KNDC4DLC7P;King;Kirkland;WA;98034;2023;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;1;228567741;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022300;6044;46856
7SAYGAEE1N;King;Kirkland;WA;98033;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;48;211169647;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022604;13071;39829
1FADP5CUXD;Jefferson;Port Townsend;WA;98368;2013;FORD;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19;59900;24;123915130;POINT (-122.7644197 48.1195874);BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY;53031950602;20393;39507
1C4JJXP61N;King;Kent;WA;98030;2022;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;69900;47;241702590;POINT (-122.199755 47.37483);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029602;19564;50336
1N4BZ1CV5M;King;Shoreline;WA;98133;2021;NISSAN;LEAF;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;32;154053847;POINT (-122.34584 47.76726);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033020700;24302;45598
5LMYJ9YY5N;King;Sammamish;WA;98075;2022;LINCOLN;AVIATOR;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;36800;41;204023228;POINT (-122.03309 47.58153);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032224;6684;30116
JTMABABA2P;King;Tukwila;WA;98188;2023;SUBARU;SOLTERRA;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;11;251112746;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;25214;44686
5YJ3E1EA3K;King;Bothell;WA;98011;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;52900;1;474429686;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021905;16735;36165
1G1RD6E43E;Thurston;Olympia;WA;98502;2014;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;59900;22;205937539;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067010520;15095;44805
1G1RD6E4XD;King;Seatac;WA;98188;2013;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;44100;33;135123481;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028802;4285;39815
KM8KNDAF8P;Kitsap;Bainbridge Island;WA;98110;2023;HYUNDAI;IONIQ 5;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;23;233465844;POINT (-122.5235781 47.6293323);PUGET SOUND ENERGY INC;53035090902;6588;30212
3FA6P0PU3H;King;Redmond;WA;98052;2017;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;44100;48;152132893;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032330;10766;33334
2C4RC1S77P;King;Seattle;WA;98178;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;59900;37;244443174;POINT (-122.234385 47.494545);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033011901;13143;46757
7SAYGAEE7N;King;Kirkland;WA;98033;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;218917338;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022402;15638;54262
5YJYGDEE0L;King;Kirkland;WA;98033;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;69900;48;113453448;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022604;19492;50408
5YJYGDEE1L;Kitsap;Bainbridge Island;WA;98110;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;31950;23;115013692;POINT (-122.5235781 47.6293323);PUGET SOUND ENERGY INC;53035090902;7841;24109
7SAYGAEE8N;King;Woodinville;WA;98072;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;45;218709116;POINT (-122.151665 47.75855);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021802;9051;60849
1C4JJXN61P;King;Kirkland;WA;98034;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;69900;1;237983049;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022203;15216;54684
2C4RC1L76P;King;Tukwila;WA;98188;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;69900;11;237733555;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;15555;54345
5YJ3E1EB2N;King;Redmond;WA;98052;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;204101180;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022803;22585;47315
1N4AZ1CP2K;King;Seattle;WA;98125;2019;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;150;36800;46;476035955;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000700;4938;31862
1N4AZ1CP2J;King;Seattle;WA;98117;2018;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;151;69900;36;348386846;POINT (-122.37275 47.68968);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033002900;26563;43337
5YJ3E1EA9K;King;Federal Way;WA;98003;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;69900;30;236573067;POINT (-122.31327 47.32309);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030203;10115;59785
5YJ3E1EB5N;Clark;Vancouver;WA;98685;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;18;195425128;POINT (-122.70302 45.703706);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040908;15492;54408
5UXTA6C07P;King;Normandy Park;WA;98198;2023;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30;52900;33;229830163;POINT (-122.3219166 47.4013897);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028901;16910;35990
JTDKARFP8H;King;Redmond;WA;98052;2017;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;44100;45;132034045;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022605;4666;39434
JTDKN3DP5D;Clark;Vancouver;WA;98664;2013;TOYOTA;PRIUS PLUG-IN;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;6;52900;49;344313161;POINT (-122.589388 45.6228731);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011043100;6108;46792
7PDSGBBA5P;King;Bellevue;WA;98004;2023;RIVIAN;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;41;259337081;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023902;2585;29365
1C4JJXN63P;King;Tukwila;WA;98188;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;59900;11;236046492;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;12680;47220
1FT6W1EV1P;King;Lake Forest Park;WA;98155;2023;FORD;F-150;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;46;228729847;POINT (-122.3175 47.7578146);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033021300;8489;23461
5UXTA6C05N;King;Bellevue;WA;98005;2022;BMW;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30;69900;48;214875286;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022805;9681;60219
5YJ3E1EB4M;King;Federal Way;WA;98003;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;30;170584445;POINT (-122.31327 47.32309);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033030203;13716;39184
WA1LAAGEXN;King;Seattle;WA;98144;2022;AUDI;E-TRON;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;37;182422985;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033008900;11646;41254
5YJSA1E26J;King;Seattle;WA;98125;2018;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;249;69900;46;212725082;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000102;13730;56170
7PDSGABA4P;King;Kirkland;WA;98033;2023;RIVIAN;R1S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;45;259117120;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022401;9547;34553
5YJ3E1EB8L;King;Redmond;WA;98052;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;322;69900;48;203153352;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032325;10716;59184
3FA6P0PU7G;Clark;Vancouver;WA;98682;2016;FORD;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19;31950;17;249249808;POINT (-122.5146473 45.67862);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040713;4682;27268
5YJ3E1EA0N;King;Bothell;WA;98011;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;1;183065291;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033021905;14084;55816
7SAYGAEE7P;King;Burien;WA;98166;2023;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;31950;34;256333024;POINT (-122.341345 47.465925);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033027902;9992;21958
WBY1Z4C50E;King;Renton;WA;98058;2014;BMW;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;72;59900;11;7537365;POINT (-122.1298876 47.4451257);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025803;19372;40528
5YJXCBE22H;King;Bellevue;WA;98006;2017;TESLA;MODEL X;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;200;36800;41;476359299;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024901;12309;24491
5YJ3E1EA7N;King;Seatac;WA;98148;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;33;219308085;POINT (-122.32863 47.46233);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028500;15265;54635
W1KCG4EB6N;King;Auburn;WA;98092;2022;MERCEDES-BENZ;EQS-CLASS SEDAN;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;233245260;POINT (-122.1820969 47.3198995);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033029602;8738;61162
1C4JJXP67P;King;Tukwila;WA;98188;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;59900;11;238135257;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;5142;54758
1FMCU0LZ2N;Clark;Vancouver;WA;98683;2022;FORD;ESCAPE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;69900;17;196408019;POINT (-122.4853873 45.6083347);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041309;26157;43743
5YJSA1E2XH;King;Woodinville;WA;98072;2017;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;210;31950;45;349376051;POINT (-122.151665 47.75855);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032320;9708;22242
1G1FX6S0XH;Jefferson;Port Townsend;WA;98368;2017;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;31950;24;117330713;POINT (-122.7644197 48.1195874);BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY;53031950604;10931;21019
5YJSA1AC0D;King;Newcastle;WA;98059;2013;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;208;69900;41;244891062;POINT (-122.15734 47.487175);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025005;0;69900
5YJSA1E20L;King;Seattle;WA;98144;2020;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;330;59900;37;103063082;POINT (-122.30823 47.581975);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033009500;18142;41758
5YJ3E1EB0K;Thurston;Olympia;WA;98502;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;31950;35;476242287;POINT (-122.92145 47.045935);PUGET SOUND ENERGY INC;53067011902;10248;21702
1G1FY6S04K;King;Kirkland;WA;98034;2019;CHEVROLET;BOLT EV;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;238;69900;1;170408913;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022203;8614;61286
7SAYGDEE9N;King;Kent;WA;98042;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;47;216863713;POINT (-122.111625 47.36078);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033031708;7347;62553
5YJ3E1EC1M;Snohomish;Lake Stevens;WA;98258;2021;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;44;148315240;POINT (-122.112265 48.0047);PUGET SOUND ENERGY INC;53061052706;5949;63951
WA16AAGE6R;King;Bothell;WA;98011;2024;AUDI;Q8;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;1;253884389;POINT (-122.20578 47.762405);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022001;18843;51057
5YJYGDEFXL;King;Covington;WA;98042;2020;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;291;69900;47;102859634;POINT (-122.111625 47.36078);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033031709;19175;50725
2C4RC1L70N;King;Tukwila;WA;98188;2022;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;52900;11;240111238;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033026200;17371;35529
5YJ3E1EA0K;Clark;Vancouver;WA;98682;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;44100;17;266864622;POINT (-122.5146473 45.67862);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040713;11051;33049
KNDC3DLC9N;King;Kirkland;WA;98034;2022;KIA;EV6;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;45;193613486;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022005;19976;32924
1G1RC6S50H;Clark;Vancouver;WA;98683;2017;CHEVROLET;VOLT;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;53;44100;17;476325013;POINT (-122.4853873 45.6083347);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041323;3932;40168
JTMFB3FV5N;Clark;Vancouver;WA;98682;2022;TOYOTA;RAV4 PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;42;52900;17;209047429;POINT (-122.5146473 45.67862);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040714;10795;42105
1C4RJYD61N;Kitsap;Poulsbo;WA;98370;2022;JEEP;GRAND CHEROKEE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;31950;23;229788352;POINT (-122.64177 47.737525);PUGET SOUND ENERGY INC;53035090202;6213;25737
JHMZC5F33J;King;Kenmore;WA;98028;2018;HONDA;CLARITY;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;47;36800;46;152156917;POINT (-122.2504747 47.7617128);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022101;11574;25226
YV4ED3UB9N;King;Seattle;WA;98125;2022;VOLVO;XC40;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;46;207102472;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033001000;10597;49303
5YJ3E1EB1N;King;Tukwila;WA;98188;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;11;196365249;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;15837;44063
7SAXCDE5XP;Snohomish;Edmonds;WA;98026;2023;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;21;228415232;POINT (-122.335685 47.80372);PUGET SOUND ENERGY INC;53061042005;14877;55023
JTDKARFP6L;King;Bellevue;WA;98006;2020;TOYOTA;PRIUS PRIME;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;25;69900;41;179008644;POINT (-122.16937 47.571015);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024800;8964;60936
2C4RC1L79P;King;Tukwila;WA;98188;2023;CHRYSLER;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32;69900;11;236411535;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;7928;61972
7SAYGAEE5N;King;Kirkland;WA;98033;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;212227578;POINT (-122.20264 47.6785);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022501;11409;58491
7SAYGDEE5N;Snohomish;Lake Stevens;WA;98258;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;36800;39;186096669;POINT (-122.112265 48.0047);PUGET SOUND ENERGY INC;53061053505;14412;22388
7SAXCDE55P;King;Renton;WA;98057;2023;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;37;256202544;POINT (-122.21024 47.4797047);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033025303;8011;44889
5YJ3E1EA7N;King;Seatac;WA;98148;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;52900;33;219358877;POINT (-122.32863 47.46233);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028500;14561;38339
3FMTK2SU6N;King;Redmond;WA;98052;2022;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;48;227336147;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022605;14374;55526
5YJ3E1EA4J;King;Bellevue;WA;98005;2018;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;215;69900;48;201950850;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022805;8827;61073
5YJ3E1EB9N;King;Seattle;WA;98125;2022;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;46;207309336;POINT (-122.296385 47.71558);CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA);53033000800;17229;52671
1C4JJXR66P;King;Tukwila;WA;98188;2023;JEEP;WRANGLER;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21;31950;11;238419513;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;11813;20137
3FMTK3SU1P;King;Tukwila;WA;98188;2023;FORD;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;69900;11;258271926;POINT (-122.29179 47.43473);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033028200;11818;58082
7SAYGDEE8N;King;Bellevue;WA;98005;2022;TESLA;MODEL Y;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;41;218205207;POINT (-122.16085 47.624515);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023603;7322;36778
5YJ3E1EA7P;King;Redmond;WA;98052;2023;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;59900;45;224451902;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032321;17091;42809
5YJ3E1EB5K;King;Medina;WA;98039;2019;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220;69900;48;230042606;POINT (-122.228025 47.61598);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033024200;27583;42317
JN1AZ0CP8B;Kitsap;Keyport;WA;98345;2011;NISSAN;LEAF;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;73;69900;23;170800766;POINT (-122.6250117 47.7021263);PUGET SOUND ENERGY INC;53035091100;11142;58758
5YJ3E1EA1L;King;Redmond;WA;98052;2020;TESLA;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;266;69900;45;112120340;POINT (-122.12302 47.67668);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033032321;6099;63801
1FMCU0EZ5N;King;Kirkland;WA;98034;2022;FORD;ESCAPE;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;38;69900;45;221533056;POINT (-122.209285 47.71124);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033022003;13972;55928
5YJSA1H1XE;King;Bellevue;WA;98004;2014;TESLA;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;208;69900;41;166072574;POINT (-122.201905 47.61385);PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA);53033023901;0;69900
7SAXCBE66N;Snohomish;Everett;WA;98208;2022;TESLA;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;0;44100;44;252733785;POINT (-122.2247757 47.9156409);PUGET SOUND ENERGY INC;53061041606;14736;29364
